15000236.00,15000356.00
15000476.00,15000596.00
15000716.00,15000836.00
15000956.00,15001076.00
15001196.00,15001316.00
15001436.00,15001556.00
15001676.00,15001796.00
15001916.00,15002036.00
15002156.00,15002276.00
15002396.00,15002516.00
15002636.00,15002756.00
15002876.00,15002996.00
15003116.00,15003236.00
15003356.00,15003476.00
15003596.00,15003716.00
15003836.00,15003956.00
15004076.00,15004196.00
15004316.00,15004436.00
15004556.00,15004684.00
15004804.00,15004924.00
15005044.00,15005164.00
15005284.00,15005404.00
15005524.00,15005644.00
15005764.00,15005884.00
15006004.00,15006124.00
15006244.00,15006364.00
15006484.00,15006604.00
15006732.00,15006852.00
15006972.00,15007092.00
15007212.00,15007332.00
15007452.00,15007572.00
15007692.00,15007812.00
15007932.00,15008052.00
15008172.00,15008292.00
15008412.00,15008532.00
15008652.00,15008780.00
15008900.00,15009020.00
15009140.00,15009260.00
15009380.00,15009500.00
15009620.00,15009740.00
15009860.00,15009980.00
15010100.00,15010220.00
15010340.00,15010460.00
15010580.00,15010700.00
15010828.00,15010948.00
15011068.00,15011188.00
15011308.00,15011428.00
15011548.00,15011668.00
15011788.00,15011908.00
15012028.00,15012148.00
15012268.00,15012388.00
15012508.00,15012628.00
15012748.00,15012876.00
15012996.00,15013116.00
15013236.00,15013356.00
15013476.00,15013596.00
15013716.00,15013836.00
15013956.00,15014076.00
15014196.00,15014316.00
15014436.00,15014556.00
15014676.00,15014796.00
15014924.00,15015044.00
15015164.00,15015284.00
15015404.00,15015524.00
15015644.00,15015764.00
15015884.00,15016004.00
15016124.00,15016244.00
15016364.00,15016484.00
15016604.00,15016724.00
15016844.00,15016972.00
15017092.00,15017212.00
15017332.00,15017452.00
15017572.00,15017692.00
15017812.00,15017932.00
15018052.00,15018172.00
15018292.00,15018412.00
15018532.00,15018652.00
15018772.00,15018892.00
15019020.00,15019140.00
15019260.00,15019380.00
15019500.00,15019620.00
15019740.00,15019860.00
15019980.00,15020100.00
15020220.00,15020340.00
15020460.00,15020580.00
15020700.00,15020820.00
15020940.00,15021068.00
15021188.00,15021308.00
15021428.00,15021548.00
15021668.00,15021788.00
15021908.00,15022028.00
15022148.00,15022268.00
15022388.00,15022508.00
15022628.00,15022748.00
15022868.00,15022988.00
15023116.00,15023236.00
15023356.00,15023476.00
15023596.00,15023716.00
15023836.00,15023956.00
15024076.00,15024196.00
15024316.00,15024436.00
15024556.00,15024676.00
15024796.00,15024916.00
15025036.00,15025164.00
15025284.00,15025404.00
15025524.00,15025644.00
15025764.00,15025884.00
15026004.00,15026124.00
15026244.00,15026364.00
15026484.00,15026604.00
15026724.00,15026844.00
15026964.00,15027084.00
15027212.00,15027332.00
15027452.00,15027572.00
15027692.00,15027812.00
15027932.00,15028052.00
15028172.00,15028292.00
15028412.00,15028532.00
15028652.00,15028772.00
15028892.00,15029012.00
15029132.00,15029260.00
15029380.00,15029500.00
15029620.00,15029740.00
15029860.00,15029980.00
15030100.00,15030220.00
15030340.00,15030460.00
15030580.00,15030700.00
15030820.00,15030940.00
15031060.00,15031180.00
15031308.00,15031428.00
15031548.00,15031668.00
15031788.00,15031908.00
15032028.00,15032148.00
15032268.00,15032388.00
15032508.00,15032628.00
15032748.00,15032868.00
15032988.00,15033108.00
15033228.00,15033356.00
15033476.00,15033596.00
15033716.00,15033836.00
